GENE,fA,fC,fG,fT,rAC,rAG,rAT,rCG,rCT,rGT,ALPH,NDAP,SAME_SEQ1,SAME_SEQ2,SEED,SECS
0108,"4_0_0,1_0_0,11_0_0","7_0_0,2_0_0,9_0_0",25,976247402,0.319,0.153,0.216,0.313,0,1.615573,1.135538,14.046038,2.057463,5.319695,8.277570,1.000000,1.453745
0109,"4_0_0","7_0_0",21,687387275,0.473,0.138,0.187,0.202,0,0.503678,0.740689,2.393068,0.000100,0.262245,1.696545,1.000000,1.091147
0110,"14_0_0,4_0_0,9_0_0","18_0_0,7_0_0,11_0_0",19,335568518,0.312,0.246,0.174,0.268,0,0.815505,0.946586,1.988644,0.686890,0.078423,2.680839,1.000000,0.505426
0111,"15_1_0,11_0_0,11_1_0,1_0_0","22_1_0,9_0_0,9_1_0,2_0_0",21,994401694,0.283,0.139,0.231,0.347,0,0.517344,1.729821,1.620182,0.966728,1.709841,5.684575,1.000000,2.017535
0112,"18_0_0,18_0_0,11_0_0,11_0_0","20_0_0,14_0_0,9_0_0,21_0_0",25,765996528,0.389,0.192,0.155,0.263,0,1.292491,9.062423,24.698814,6.014333,8.718462,18.497797,1.000000,1.467906
0113,"NA","NA",23,717975075,0.262,0.366,0.180,0.192,0,1.002487,344.950291,620.688985,327.258442,200.120060,477.222956,1.000000,0.974224
0114,"14_0_0","18_0_0",23,952837265,0.138,0.231,0.228,0.403,0,0.994038,28.671160,19.402400,9.452868,0.000100,19.946780,1.000000,0.479399
0115,"NA","NA",22,563413579,0.340,0.157,0.235,0.268,0,0.206317,0.315021,2.102695,1.017164,0.000100,2.692989,1.000000,3.890394
0116,"4_1_0,11_0_0,11_1_0","7_1_0,9_0_0,9_1_0",21,589920624,0.358,0.151,0.254,0.237,0,0.540998,17114.952196,9085.354459,5918.372193,16527.647963,88870.260253,1.000000,2.357213
0117,"1_0_0,11_0_0","2_0_0,9_0_0",22,830945564,0.369,0.131,0.223,0.277,0,0.423326,3814.752524,3797.459018,1593.534412,0.000100,3051.290805,1.000000,2.722327
0119,"18_0_0,9_0_0,1_0_0","14_0_0,11_0_0,2_0_0",22,670390562,0.287,0.265,0.218,0.230,0,0.439192,0.767930,5.786971,2.735307,6.022286,4.914745,1.000000,0.912526
0120,"15_0_0,18_0_0,11_0_0,4_0_0","22_0_0,14_0_0,9_0_0,7_0_0",21,337600072,0.267,0.208,0.253,0.272,0,0.951123,1.925029,3.316428,1.360058,3.582763,6.429348,1.000000,1.028933
